1,0,1,1,6,4,7,7,8,8,11,9,12,12,13,13,16,14,17,6,7,7,10,8,11,11,12,12,15,16,
2,1,0,6,1,7,4,8,7,11,8,12,9,13,12,16,13,17,14,3,6,4,9,5,8,8,9,9,12,13,
3,1,6,0,1,1,6,6,7,7,10,8,11,11,12,12,15,13,16,9,10,10,13,9,10,10,11,11,14,15,
4,6,1,1,0,6,1,7,6,10,7,11,8,12,11,15,12,16,13,4,7,3,10,4,7,7,8,8,11,12,
5,4,7,1,6,0,1,3,4,6,7,7,8,10,11,11,12,12,13,8,11,7,10,6,7,7,8,8,11,12,
6,7,4,6,1,1,0,4,3,7,6,8,7,11,10,12,11,13,12,5,8,4,9,3,6,6,7,7,10,11,
7,7,8,6,7,3,4,0,1,1,6,4,7,7,8,8,11,9,12,9,12,8,11,7,8,6,7,7,10,11,
8,8,7,7,6,4,3,1,0,6,1,7,4,8,7,11,8,12,9,8,11,7,10,6,7,3,6,4,9,8,
9,8,11,7,10,6,7,1,6,0,1,1,6,6,7,7,10,8,11,12,15,11,14,10,11,9,10,10,13,10,
10,11,8,10,7,7,6,6,1,1,0,6,1,7,6,10,7,11,8,9,12,8,11,7,8,4,7,3,10,7,
11,9,12,8,11,7,8,4,7,1,6,0,1,3,4,6,7,7,8,13,16,12,15,11,12,8,11,7,10,7,
12,12,9,11,8,8,7,7,4,6,1,1,0,4,3,7,6,8,7,10,13,9,12,8,9,5,8,4,9,6,
13,12,13,11,12,10,11,7,8,6,7,3,4,0,1,1,6,4,7,14,17,13,16,12,13,9,12,8,11,8,
14,13,12,12,11,11,10,8,7,7,6,4,3,1,0,6,1,7,4,13,16,12,15,11,12,8,11,7,10,7,
15,13,16,12,15,11,12,8,11,7,10,6,7,1,6,0,1,1,6,17,20,16,19,15,16,12,15,11,14,11,
16,16,13,15,12,12,11,11,8,10,7,7,6,6,1,1,0,6,1,14,17,13,16,12,13,9,12,8,11,8,
17,14,17,13,16,12,13,9,12,8,11,7,8,4,7,1,6,0,1,18,21,17,20,16,17,13,16,12,15,12,
18,17,14,16,13,13,12,12,9,11,8,8,7,7,4,6,1,1,0,15,18,14,17,13,14,10,13,9,12,9,
19,6,3,9,4,8,5,9,8,12,9,13,10,14,13,17,14,18,15,0,1,1,6,4,7,7,8,8,11,12,
20,7,6,10,7,11,8,12,11,15,12,16,13,17,16,20,17,21,18,1,0,6,1,7,4,8,7,11,8,9,
21,7,4,10,3,7,4,8,7,11,8,12,9,13,12,16,13,17,14,1,6,0,1,1,6,6,7,7,10,11,
22,10,9,13,10,10,9,11,10,14,11,15,12,16,15,19,16,20,17,6,1,1,0,6,1,7,6,10,7,8,
23,8,5,9,4,6,3,7,6,10,7,11,8,12,11,15,12,16,13,4,7,1,6,0,1,3,4,6,7,8,
24,11,8,10,7,7,6,8,7,11,8,12,9,13,12,16,13,17,14,7,4,6,1,1,0,4,3,7,6,7,
25,11,8,10,7,7,6,6,3,9,4,8,5,9,8,12,9,13,10,7,8,6,7,3,4,0,1,1,6,7,
26,12,9,11,8,8,7,7,6,10,7,11,8,12,11,15,12,16,13,8,7,7,6,4,3,1,0,6,1,4,
27,12,9,11,8,8,7,7,4,10,3,7,4,8,7,11,8,12,9,8,11,7,10,6,7,1,6,0,1,6,
28,15,12,14,11,11,10,10,9,13,10,10,9,11,10,14,11,15,12,11,8,10,7,7,6,6,1,1,0,1,
29,13,10,12,9,9,8,8,5,9,4,6,3,7,6,10,7,11,8,9,12,8,11,7,8,4,7,1,6,1,
30,16,13,15,12,12,11,11,8,10,7,7,6,8,7,11,8,12,9,12,9,11,8,8,7,7,4,6,1,0,
